chapterid;course;year;part;title;parttitle
1;algebra;1998;1;Deel 1 : Algebraische structuren en logica;Deel 1 : Algebraische structuren en logica
2;algebra;1998;0;Hoofdstuk 2 : Verzamelingen, relaties en functies;Deel 1 : Algebraische structuren en logica
3;algebra;1998;0;Hoofdstuk 3 : Monoiden en groepen;Deel 1 : Algebraische structuren en logica
4;algebra;1998;0;Hoofdstuk 4 : Ringen en velden;Deel 1 : Algebraische structuren en logica
5;algebra;1998;0;Hoofdstuk 5 : Logica;Deel 1 : Algebraische structuren en logica
6;algebra;1998;0;Hoofdstuk 6 : Booleaanse algebra;Deel 1 : Algebraische structuren en logica
7;algebra;1998;0;Bijlage A : De CD-speler;Deel 1 : Algebraische structuren en logica
8;algebra;1998;0;Vragen over de oefeningen;Deel 1 : Algebraische structuren en logica
9;algebra;1998;1;Deel 2 : Lineaire algebra en matrixrekenen;Deel 2 : Lineaire algebra en matrixrekenen
10;algebra;1998;0;Hoofdstuk 1 : Vectorrruimten en lineaire afbeeldinge ;Deel 2 : Lineaire algebra en matrixrekenen
11;algebra;1998;0;Hoofdstuk 2 : Matrixrekenen;Deel 2 : Lineaire algebra en matrixrekenen
12;algebra;1998;0;Hoofdstuk 3 : Stelsels van lineaire vergelijkingen;Deel 2 : Lineaire algebra en matrixrekenen
13;algebra;1998;0;Hoofdstuk 4 : Determinanten;Deel 2 : Lineaire algebra en matrixrekenen
14;algebra;1998;0;Hoofdstuk 5 : Eigenwaarden en eigenvectoren;Deel 2 : Lineaire algebra en matrixrekenen
15;algebra;1998;0;Hoofdstuk 6 : Kwadratische vormen;Deel 2 : Lineaire algebra en matrixrekenen
16;algebra;1998;0;Hoofdstuk 7 : Genormeerde en Euclidische vectorruimten;Deel 2 : Lineaire algebra en matrixrekenen
17;algebra;1998;0;Hoofdstuk 8 : Kleinste kwadraten oplossing en Gram-Schmidt ortogonalisatie;Deel 2 : Lineaire algebra en matrixrekenen
18;algebra;1998;0;Hoofdstuk 9 : Singuliere waarden ontbinding;Deel 2 : Lineaire algebra en matrixrekenen
19;algebra;1998;0;Hoofdstuk 10 en Appendix : Besluit en Jordanmatrices;Deel 2 : Lineaire algebra en matrixrekenen
20;algebra;1998;1;Deel 3 : Analytische meetkunde in de ruimte;Deel 3 : Analytische meetkunde in de ruimte
