chapterid;course;year;part;title;
1;algebra;1998;1; Deel 1 : Algebraische structuren en logica;
2;algebra;1998;0; Hoofdstuk 2 : Verzamelingen, relaties en functies;
3;algebra;1998;0; Hoofdstuk 3 : Monoiden en groepen;
4;algebra;1998;0; Hoofdstuk 4 : Ringen en velden;
5;algebra;1998;0; Hoofdstuk 5 : Logica;
6;algebra;1998;0; Hoofdstuk 6 : Booleaanse algebra;
7;algebra;1998;0; Bijlage A : De CD-speler;
8;algebra;1998;0; Vragen over de oefeningen;
9;algebra;1998;1; Deel 2 : Lineaire algebra en matrixrekenen;
10;algebra;1998;0; Hoofdstuk 1 : Vectorrruimten en lineaire afbeeldinge ;
11;algebra;1998;0; Hoofdstuk 2 : Matrixrekenen;
12;algebra;1998;0; Hoofdstuk 3 : Stelsels van lineaire vergelijkingen;
13;algebra;1998;0; Hoofdstuk 4 : Determinanten;
14;algebra;1998;0; Hoofdstuk 5 : Eigenwaarden en eigenvectoren;
15;algebra;1998;0; Hoofdstuk 6 : Kwadratische vormen;
16;algebra;1998;0; Hoofdstuk 7 : Genormeerde en Euclidische vectorruimten;
17;algebra;1998;0; Hoofdstuk 8 : Kleinste kwadraten oplossing en Gram-Schmidt ortogonalisatie;
18;algebra;1998;0; Hoofdstuk 9 : Singuliere waarden ontbinding;
19;algebra;1998;0; Hoofdstuk 10 en Appendix : Besluit en Jordanmatrices;
20;algebra;1998;1; Deel 3 : Analytische meetkunde in de ruimte;
21;algebra;1998;0; Hoofdstuk 1 tot 4 : Rechten, vlakken, hoeken en afstanden in de ruimte;
22;algebra;1998;0; Hoofdstuk 5 : Oppervlakken en krommen in de ruimte;
23;algebra;1998;0; Hoofdstuk 6 : Kwadrieken of oppervlakken van de tweede graad;
24;algebra;1998;0; Hoofdstuk 7 : Meetkundige plaatsen;
25;algebra;1998;0; Vragen over de oefeningen;
1;algebra;1999;1; Deel 1 : Algebraische structuren en logica;
2;algebra;1999;0; Hoofdstuk 2 : Verzamelingen, relaties en functies;
3;algebra;1999;0; Hoofdstuk 3 : Monoiden en groepen;
4;algebra;1999;0; Hoofdstuk 4 : Ringen en velden;
5;algebra;1999;0; Hoofdstuk 5 : Logica;
6;algebra;1999;0; Hoofdstuk 6 : Booleaanse algebra;
7;algebra;1999;0; Bijlage A : De CD-speler;
8;algebra;1999;1; Deel 2 : Lineaire algebra en matrixrekenen;
9;algebra;1999;0; Hoofdstuk 1 : Vectorrruimten en lineaire afbeeldingen ;
10;algebra;1999;0; Hoofdstuk 2 tot 4 : Matrixrekenen, stelsels van lin. verg. en determinanten;
11;algebra;1999;0; Hoofdstuk 5 : Eigenwaarden en eigenvectoren;
12;algebra;1999;0; Hoofdstuk 6 en 7 : Kwadratische vormen en Euclidische vectorruimten;
13;algebra;1999;0; Hoofdstuk 8 : Kleinste kwadraten oplossing en Gram-Schmidt orthogonalisatie;
